ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado
295,2024-03-27,223,32,6,2,Completa
559,2024-03-27,97,24,5,2,Completa
737,2024-03-27,48,30,1,5,Completa
1278,2024-03-27,11,29,5,4,Pendiente
1312,2024-03-27,215,35,5,3,Completa
1627,2024-03-27,323,13,1,5,Completa
1666,2024-03-27,56,25,1,3,Completa
1679,2024-03-27,273,38,4,3,Completa
2048,2024-03-27,261,25,3,4,Completa
2225,2024-03-27,269,34,1,4,Completa
2630,2024-03-27,223,19,5,3,Completa
249,2024-03-28,1,31,2,5,Pendiente
279,2024-03-28,54,10,4,4,Completa
321,2024-03-28,205,35,4,5,Completa
669,2024-03-28,44,19,4,3,Completa
988,2024-03-28,266,21,5,2,Completa
1086,2024-03-28,40,22,6,5,Completa
1153,2024-03-28,130,27,6,3,Completa
2507,2024-03-28,243,33,3,4,Completa
86,2024-03-29,188,30,2,4,Completa
189,2024-03-29,170,30,1,1,Completa
468,2024-03-29,45,17,5,1,Completa
511,2024-03-29,98,31,6,3,Completa
1129,2024-03-29,275,36,4,4,Pendiente
1169,2024-03-29,8,28,5,4,Completa
1409,2024-03-29,86,14,6,4,Completa
1828,2024-03-29,52,14,2,2,Completa
2142,2024-03-29,165,23,2,1,Pendiente
265,2024-03-30,257,28,1,1,Completa
432,2024-03-30,197,25,5,3,Completa
1624,2024-03-30,71,1,2,5,Completa
2580,2024-03-30,287,22,4,3,Pendiente
2863,2024-03-30,194,1,5,5,Completa
2891,2024-03-30,76,7,1,4,Completa
209,2024-03-31,311,35,3,2,Completa
293,2024-03-31,310,35,3,3,Completa
433,2024-03-31,218,29,6,5,Completa
590,2024-03-31,194,13,6,1,Completa
853,2024-03-31,176,35,2,4,Completa
1045,2024-03-31,258,32,3,4,Completa
1705,2024-03-31,321,18,4,1,Completa
1976,2024-03-31,299,18,6,5,Completa
2213,2024-03-31,230,19,4,2,Pendiente
2303,2024-04-01,314,2,1,5,Pendiente
2326,2024-04-01,201,26,3,5,Completa
2385,2024-04-01,76,12,4,3,Completa
2611,2024-04-01,63,1,4,5,Completa
2914,2024-04-01,66,22,6,4,Pendiente
160,2024-04-02,106,25,6,4,Completa
837,2024-04-02,102,4,3,1,Completa
1224,2024-04-02,60,4,3,5,Pendiente
1819,2024-04-02,192,22,5,1,Pendiente
1968,2024-04-02,285,12,2,5,Pendiente
2413,2024-04-02,248,31,5,4,Completa
2465,2024-04-02,240,9,3,2,Completa
2899,2024-04-02,163,34,5,1,Pendiente
232,2024-04-03,144,24,3,3,Completa
339,2024-04-03,81,21,1,3,Completa
844,2024-04-03,258,22,2,2,Pendiente
1687,2024-04-03,160,23,6,5,Completa
1704,2024-04-03,104,3,4,4,Completa
1913,2024-04-03,78,33,5,4,Completa
2532,2024-04-03,28,13,5,4,Completa
2571,2024-04-03,54,18,5,4,Completa
2641,2024-04-03,172,8,3,3,Completa
2795,2024-04-03,39,8,5,4,Completa
2954,2024-04-03,237,27,6,3,Completa
2961,2024-04-03,141,25,2,1,Completa
327,2024-04-04,203,27,4,2,Completa
491,2024-04-04,25,5,5,5,Completa
1175,2024-04-04,189,17,3,1,Completa
1417,2024-04-04,126,13,5,3,Completa
1782,2024-04-04,145,13,2,3,Completa
1872,2024-04-04,239,16,6,1,Completa
2844,2024-04-04,213,22,3,5,Completa
2879,2024-04-04,186,3,5,4,Completa
245,2024-04-05,101,32,4,4,Completa
799,2024-04-05,55,19,1,5,Pendiente
905,2024-04-05,151,3,2,4,Completa
1195,2024-04-05,47,16,3,3,Completa
2276,2024-04-05,62,23,6,4,Pendiente
2884,2024-04-05,307,32,3,1,Completa
2945,2024-04-05,245,20,1,5,Completa
2995,2024-04-05,38,34,5,5,Completa
10,2024-04-06,232,37,2,3,Completa
1068,2024-04-06,318,6,3,5,Completa
1960,2024-04-06,266,30,3,5,Completa
2718,2024-04-06,157,32,1,5,Completa
395,2024-04-07,75,32,5,5,Completa
453,2024-04-07,75,12,2,4,Completa
657,2024-04-07,57,36,1,4,Completa
1220,2024-04-07,224,38,5,3,Completa
2084,2024-04-07,138,33,4,3,Completa
2726,2024-04-07,166,17,6,4,Completa
2731,2024-04-07,132,5,3,1,Pendiente
108,2024-04-08,153,17,4,4,Completa
581,2024-04-08,297,6,1,3,Pendiente
1470,2024-04-08,38,24,5,5,Completa
1834,2024-04-08,141,7,1,5,Completa
1840,2024-04-08,241,12,6,3,Completa
2140,2024-04-08,174,9,1,4,Completa
2885,2024-04-08,245,24,1,2,Completa
80,2024-04-09,313,25,6,3,Completa
600,2024-04-09,142,14,2,4,Completa
962,2024-04-09,275,8,2,4,Completa
1331,2024-04-09,51,11,2,4,Completa
1474,2024-04-09,321,9,1,4,Completa
2341,2024-04-09,23,10,3,5,Completa
2716,2024-04-09,162,15,4,3,Completa
2920,2024-04-09,207,35,2,3,Completa
102,2024-04-10,282,26,1,3,Completa
239,2024-04-10,197,37,6,5,Completa
532,2024-04-10,233,1,3,1,Completa
1046,2024-04-10,288,1,5,3,Completa
1612,2024-04-10,68,20,4,4,Pendiente
1904,2024-04-10,231,12,4,4,Completa
2490,2024-04-10,162,26,3,5,Completa
2758,2024-04-10,273,23,2,4,Completa
2785,2024-04-10,191,17,6,5,Completa
354,2024-04-11,195,29,6,1,Completa
677,2024-04-11,291,10,3,5,Completa
873,2024-04-11,72,26,1,4,Completa
1110,2024-04-11,284,12,2,4,Completa
2469,2024-04-11,79,36,4,5,Pendiente
2561,2024-04-11,133,19,3,1,Completa
379,2024-04-12,67,2,4,1,Completa
831,2024-04-12,94,19,4,3,Pendiente
1143,2024-04-12,266,20,2,5,Completa
1149,2024-04-12,272,24,5,5,Completa
1157,2024-04-12,90,11,4,3,Completa
1299,2024-04-12,223,16,3,3,Completa
1647,2024-04-12,74,9,4,4,Completa
1698,2024-04-12,272,3,5,5,Completa
1915,2024-04-12,21,27,4,4,Completa
2137,2024-04-12,202,5,1,4,Completa
2229,2024-04-12,312,27,2,1,Completa
2306,2024-04-12,242,2,6,3,Completa
2497,2024-04-12,105,26,5,4,Completa
2581,2024-04-12,260,26,2,4,Completa
328,2024-04-13,167,23,3,3,Pendiente
788,2024-04-13,52,33,1,2,Completa
